regiao;data;obitosAcumulado
Nordeste;2020-06-12;16135
Nordeste;2020-06-13;16909
Nordeste;2020-06-14;17721
Nordeste;2020-06-15;18572
Sudeste;2020-02-26;0
Sudeste;2020-02-27;0
Sudeste;2020-02-28;0
Sudeste;2020-02-29;0
Sudeste;2020-03-01;0
Sudeste;2020-03-02;0
Sudeste;2020-03-03;0
Sudeste;2020-03-04;0
Sudeste;2020-03-05;0
Sudeste;2020-03-06;0
Sudeste;2020-03-07;0
Sudeste;2020-03-08;0
Sudeste;2020-03-09;0
Sudeste;2020-03-10;0
Sudeste;2020-03-11;0
Sudeste;2020-03-12;0
Sudeste;2020-03-13;0
Sudeste;2020-03-14;0
Sudeste;2020-03-15;0
Sudeste;2020-03-16;0
Sudeste;2020-03-17;1
Sudeste;2020-03-18;4
Sudeste;2020-03-19;6
Sudeste;2020-03-20;11
Sudeste;2020-03-21;18
Sudeste;2020-03-22;25
Sudeste;2020-03-23;34
Sudeste;2020-03-24;46
Sudeste;2020-03-25;54
Sudeste;2020-03-26;67
Sudeste;2020-03-27;78
Sudeste;2020-03-28;97
Sudeste;2020-03-29;115
Sudeste;2020-03-30;132
Sudeste;2020-03-31;161
Sudeste;2020-04-01;195
Sudeste;2020-04-02;234
Sudeste;2020-04-03;276
Sudeste;2020-04-04;329
Sudeste;2020-04-05;351
Sudeste;2020-04-06;390
Sudeste;2020-04-07;477
Sudeste;2020-04-08;554
Sudeste;2020-04-09;639
Sudeste;2020-04-10;711
Sudeste;2020-04-11;741
Sudeste;2020-04-12;787
Sudeste;2020-04-13;833
Sudeste;2020-04-14;963
Sudeste;2020-04-15;1091
Sudeste;2020-04-16;1208
Sudeste;2020-04-17;1329
Sudeste;2020-04-18;1445
Sudeste;2020-04-19;1486
Sudeste;2020-04-20;1533
Sudeste;2020-04-21;1632
Sudeste;2020-04-22;1705
Sudeste;2020-04-23;1968
Sudeste;2020-04-24;2178
Sudeste;2020-04-25;2387
Sudeste;2020-04-26;2457
Sudeste;2020-04-27;2621
Sudeste;2020-04-28;2922
Sudeste;2020-04-29;3197
Sudeste;2020-04-30;3394
Sudeste;2020-05-01;3616
Sudeste;2020-05-02;3747
Sudeste;2020-05-03;3849
Sudeste;2020-05-04;3931
Sudeste;2020-05-05;4201
Sudeste;2020-05-06;4492
Sudeste;2020-05-07;4861
Sudeste;2020-05-08;5195
Sudeste;2020-05-09;5551
Sudeste;2020-05-10;5723
Sudeste;2020-05-11;5830
Sudeste;2020-05-12;6216
Sudeste;2020-05-13;6536
Sudeste;2020-05-14;6950
Sudeste;2020-05-15;7345
Sudeste;2020-05-16;7723
Sudeste;2020-05-17;7938
Sudeste;2020-05-18;8138
Sudeste;2020-05-19;8718
Sudeste;2020-05-20;9118
Sudeste;2020-05-21;9524
Sudeste;2020-05-22;10028
Sudeste;2020-05-23;10584
Sudeste;2020-05-24;10828
Sudeste;2020-05-25;11020
Sudeste;2020-05-26;11505
Sudeste;2020-05-27;12068
Sudeste;2020-05-28;12629
Sudeste;2020-05-29;13172
Sudeste;2020-05-30;13738
Sudeste;2020-05-31;14329
Sudeste;2020-06-01;14945
Sudeste;2020-06-02;15588
Sudeste;2020-06-03;16258
Sudeste;2020-06-04;16957
Sudeste;2020-06-05;17686
Sudeste;2020-06-06;18446
Sudeste;2020-06-07;19239
Sudeste;2020-06-08;20066
Sudeste;2020-06-09;20929
Sudeste;2020-06-10;21829
Sudeste;2020-06-11;22768
Sudeste;2020-06-12;23747
Sudeste;2020-06-13;24768
Sudeste;2020-06-14;25833
Sudeste;2020-06-15;26944
Sul;2020-03-10;0
Sul;2020-03-11;0
Sul;2020-03-12;0
Sul;2020-03-13;0
Sul;2020-03-14;0
Sul;2020-03-15;0
Sul;2020-03-16;0
Sul;2020-03-17;0
Sul;2020-03-18;0
Sul;2020-03-19;0
Sul;2020-03-20;0
Sul;2020-03-21;0
Sul;2020-03-22;0
Sul;2020-03-23;0
Sul;2020-03-24;0
Sul;2020-03-25;1
Sul;2020-03-26;2
Sul;2020-03-27;5
Sul;2020-03-28;5
Sul;2020-03-29;5
Sul;2020-03-30;7
Sul;2020-03-31;9
Sul;2020-04-01;9
Sul;2020-04-02;11
Sul;2020-04-03;14
Sul;2020-04-04;17
Sul;2020-04-05;26
Sul;2020-04-06;28
Sul;2020-04-07;34
Sul;2020-04-08;41
Sul;2020-04-09;51
Sul;2020-04-10;57
Sul;2020-04-11;62
Sul;2020-04-12;70
Sul;2020-04-13;71
Sul;2020-04-14;80
Sul;2020-04-15;85
Sul;2020-04-16;89
Sul;2020-04-17;94
Sul;2020-04-18;101
Sul;2020-04-19;104
Sul;2020-04-20;113
Sul;2020-04-21;113
Sul;2020-04-22;121
Sul;2020-04-23;128
Sul;2020-04-24;137
Sul;2020-04-25;145
Sul;2020-04-26;149
Sul;2020-04-27;160
Sul;2020-04-28;166
Sul;2020-04-29;176
Sul;2020-04-30;180
Sul;2020-05-01;195
Sul;2020-05-02;204
Sul;2020-05-03;210
Sul;2020-05-04;220
Sul;2020-05-05;233
Sul;2020-05-06;247
Sul;2020-05-07;257
Sul;2020-05-08;260
